,StudentID,assignment,grade,section
0,1161704,1-SHA256,100.0,SP23-Monday
1,1161704,2-ECC Curve,70.0,SP23-Monday
2,1161704,3-Wallet,100.0,SP23-Monday
3,1161704,4-PayUB,100.0,SP23-Monday
4,1161704,5-myID,100.0,SP23-Monday
5,1161704,6-  Mid Term,95.0,SP23-Monday
6,1161704,7-Practice Quiz,16.0,SP23-Monday
7,1161704,8-Mid Term Quiz,19.0,SP23-Monday
8,1019615,1-SHA256,0.0,SP23-Monday
9,1019615,8-Mid Term Quiz,12.0,SP23-Monday
10,1141910,1-SHA256,100.0,SP23-Monday
11,1141910,2-ECC Curve,70.0,SP23-Monday
12,1141910,3-Wallet,100.0,SP23-Monday
13,1141910,4-PayUB,100.0,SP23-Monday
14,1141910,5-myID,100.0,SP23-Monday
15,1141910,6-  Mid Term,100.0,SP23-Monday
16,1141910,7-Practice Quiz,15.0,SP23-Monday
17,1141910,8-Mid Term Quiz,16.0,SP23-Monday
18,1169426,1-SHA256,95.0,SP23-Monday
19,1169426,2-ECC Curve,70.0,SP23-Monday
20,1169426,3-Wallet,100.0,SP23-Monday
21,1169426,3-Wallet,100.0,SP23-Monday
22,1169426,4-PayUB,100.0,SP23-Monday
23,1169426,5-myID,100.0,SP23-Monday
24,1169426,6-  Mid Term,95.0,SP23-Monday
25,1169426,7-Practice Quiz,16.0,SP23-Monday
26,1169426,8-Mid Term Quiz,18.0,SP23-Monday
27,1157814,1-SHA256,80.0,SP23-Wednesday
28,1157814,2-ECC Curve,70.0,SP23-Wednesday
29,1157814,3-Wallet,100.0,SP23-Wednesday
30,1157814,4-PayUB,95.0,SP23-Wednesday
31,1157814,5-myID,95.0,SP23-Wednesday
32,1157814,6-  Mid Term,100.0,SP23-Wednesday
33,1157814,7-Practice Quiz,14.0,SP23-Wednesday
34,1169518,1-SHA256,100.0,SP23-Wednesday
35,1169518,2-ECC Curve,100.0,SP23-Wednesday
36,1169518,3-Wallet,100.0,SP23-Wednesday
37,1169518,4-PayUB,100.0,SP23-Wednesday
38,1169518,5-myID,100.0,SP23-Wednesday
39,1169518,6-  Mid Term,100.0,SP23-Wednesday
40,1169518,7-Practice Quiz,16.0,SP23-Wednesday
41,1168115,1-SHA256,100.0,SP23-Wednesday
42,1168115,2-ECC Curve,70.0,SP23-Wednesday
43,1168115,3-Wallet,100.0,SP23-Wednesday
44,1168115,6-  Mid Term,-5.0,SP23-Wednesday
45,1168115,7-Practice Quiz,15.0,SP23-Wednesday
46,1170999,1-SHA256,100.0,SP23-Monday
47,1170999,2-ECC Curve,100.0,SP23-Monday
48,1170999,3-Wallet,100.0,SP23-Monday
49,1170999,3-Wallet,100.0,SP23-Monday
50,1170999,4-PayUB,100.0,SP23-Monday
51,1170999,5-myID,100.0,SP23-Monday
52,1170999,6-  Mid Term,95.0,SP23-Monday
53,1170999,7-Practice Quiz,16.0,SP23-Monday
54,1170999,8-Mid Term Quiz,17.0,SP23-Monday
55,1165650,1-SHA256,100.0,SP23-Monday
56,1165650,2-ECC Curve,100.0,SP23-Monday
57,1165650,3-Wallet,100.0,SP23-Monday
58,1165650,3-Wallet,100.0,SP23-Monday
59,1165650,4-PayUB,100.0,SP23-Monday
60,1165650,5-myID,100.0,SP23-Monday
61,1165650,6-  Mid Term,95.0,SP23-Monday
62,1165650,7-Practice Quiz,16.0,SP23-Monday
63,1165650,8-Mid Term Quiz,18.0,SP23-Monday
64,1151704,1-SHA256,100.0,SP23-Monday
65,1151704,2-ECC Curve,100.0,SP23-Monday
66,1151704,3-Wallet,100.0,SP23-Monday
67,1151704,4-PayUB,95.0,SP23-Monday
68,1151704,5-myID,80.0,SP23-Monday
69,1151704,7-Practice Quiz,16.0,SP23-Monday
70,1151704,8-Mid Term Quiz,17.0,SP23-Monday
71,1147695,1-SHA256,80.0,SP23-Monday
72,1147695,2-ECC Curve,70.0,SP23-Monday
73,1147695,3-Wallet,100.0,SP23-Monday
74,1147695,4-PayUB,100.0,SP23-Monday
75,1147695,5-myID,100.0,SP23-Monday
76,1147695,6-  Mid Term,100.0,SP23-Monday
77,1147695,7-Practice Quiz,16.0,SP23-Monday
78,1147695,8-Mid Term Quiz,19.0,SP23-Monday
79,1173158,1-SHA256,100.0,SP23-Monday
80,1173158,2-ECC Curve,70.0,SP23-Monday
81,1173158,3-Wallet,100.0,SP23-Monday
82,1173158,4-PayUB,100.0,SP23-Monday
83,1173158,5-myID,100.0,SP23-Monday
84,1173158,6-  Mid Term,75.0,SP23-Monday
85,1173158,7-Practice Quiz,16.0,SP23-Monday
86,1173158,8-Mid Term Quiz,15.0,SP23-Monday
87,1165529,1-SHA256,100.0,SP23-Monday
88,1165529,2-ECC Curve,70.0,SP23-Monday
89,1165529,3-Wallet,100.0,SP23-Monday
90,1165529,4-PayUB,100.0,SP23-Monday
91,1165529,5-myID,100.0,SP23-Monday
92,1165529,6-  Mid Term,100.0,SP23-Monday
93,1165529,7-Practice Quiz,16.0,SP23-Monday
94,1165529,8-Mid Term Quiz,17.0,SP23-Monday
95,1172512,1-SHA256,80.0,SP23-Wednesday
96,1172512,2-ECC Curve,70.0,SP23-Wednesday
97,1172512,3-Wallet,100.0,SP23-Wednesday
98,1172512,4-PayUB,95.0,SP23-Wednesday
99,1172512,5-myID,95.0,SP23-Wednesday
100,1172512,6-  Mid Term,100.0,SP23-Wednesday
101,1172512,7-Practice Quiz,16.0,SP23-Wednesday
102,1164271,1-SHA256,100.0,SP23-Monday
103,1164271,2-ECC Curve,100.0,SP23-Monday
104,1164271,3-Wallet,100.0,SP23-Monday
105,1164271,4-PayUB,100.0,SP23-Monday
106,1164271,5-myID,100.0,SP23-Monday
107,1164271,6-  Mid Term,100.0,SP23-Monday
108,1164271,7-Practice Quiz,16.0,SP23-Monday
109,1164271,8-Mid Term Quiz,18.0,SP23-Monday
110,1149913,1-SHA256,100.0,SP23-Wednesday
111,1149913,2-ECC Curve,100.0,SP23-Wednesday
112,1149913,3-Wallet,100.0,SP23-Wednesday
113,1149913,4-PayUB,100.0,SP23-Wednesday
114,1149913,5-myID,100.0,SP23-Wednesday
115,1149913,6-  Mid Term,100.0,SP23-Wednesday
116,1149913,7-Practice Quiz,16.0,SP23-Wednesday
117,1146787,1-SHA256,100.0,SP23-Wednesday
118,1146787,2-ECC Curve,100.0,SP23-Wednesday
119,1146787,3-Wallet,100.0,SP23-Wednesday
120,1146787,4-PayUB,100.0,SP23-Wednesday
121,1146787,5-myID,100.0,SP23-Wednesday
122,1146787,6-  Mid Term,100.0,SP23-Wednesday
123,1146787,7-Practice Quiz,16.0,SP23-Wednesday
124,1170811,1-SHA256,80.0,SP23-Wednesday
125,1170811,2-ECC Curve,70.0,SP23-Wednesday
126,1170811,3-Wallet,100.0,SP23-Wednesday
127,1170811,4-PayUB,95.0,SP23-Wednesday
128,1170811,5-myID,95.0,SP23-Wednesday
129,1170811,6-  Mid Term,100.0,SP23-Wednesday
130,1170811,7-Practice Quiz,16.0,SP23-Wednesday
131,1170968,1-SHA256,100.0,SP23-Monday
132,1170968,2-ECC Curve,100.0,SP23-Monday
133,1170968,3-Wallet,100.0,SP23-Monday
134,1170968,3-Wallet,100.0,SP23-Monday
135,1170968,4-PayUB,100.0,SP23-Monday
136,1170968,5-myID,100.0,SP23-Monday
137,1170968,6-  Mid Term,95.0,SP23-Monday
138,1170968,7-Practice Quiz,16.0,SP23-Monday
139,1170968,8-Mid Term Quiz,19.0,SP23-Monday
140,1148972,1-SHA256,11.0,SP23-Monday
141,1148972,2-ECC Curve,70.0,SP23-Monday
142,1148972,3-Wallet,100.0,SP23-Monday
143,1148972,4-PayUB,100.0,SP23-Monday
144,1148972,5-myID,100.0,SP23-Monday
145,1148972,7-Practice Quiz,14.0,SP23-Monday
146,1148972,8-Mid Term Quiz,16.0,SP23-Monday
147,1183907,1-SHA256,80.0,SP23-Wednesday
148,1183907,2-ECC Curve,70.0,SP23-Wednesday
149,1183907,3-Wallet,100.0,SP23-Wednesday
150,1183907,4-PayUB,100.0,SP23-Wednesday
151,1183907,5-myID,100.0,SP23-Wednesday
152,1183907,6-  Mid Term,100.0,SP23-Wednesday
153,1183907,7-Practice Quiz,16.0,SP23-Wednesday
